Approximation Errors (absolute %, relative to kh_numeric) for k0h in [0.0001, 2π]

Rank Method                  AvgErr       MaxErr        k0h_MaxErr  Time1M
   1 kh_numeric              0.0000000%   0.0000000%    0.0000      0.31
   2 Pade(2025)_11           0.0000000%   0.0000000%    0.0001      1.13
   3 Pade(2025)_8            0.0000000%   0.0000000%    0.0001      0.77
   4 Pade(2025)_12           0.0000000%   0.0000000%    0.0001      1.12
   5 Pade(2025)_13           0.0000000%   0.0000000%    0.0001      1.15
   6 Pade(2025)_9            0.0000000%   0.0000001%    0.0001      0.83
   7 Pade(2025)_10           0.0000000%   0.0000001%    0.0001      0.94
   8 Pade(2025)_7            0.0000000%   0.0000075%    5.3306      0.65
   9 Pade(2025)_6            0.0000000%   0.0000002%    0.7686      0.57
  10 Carvalho(2025)_1        0.0000003%   0.0000042%    0.3256      0.33
  11 Simarro&Orfila(2013)    0.0000005%   0.0000082%    0.0359      0.18
  12 Pade(2025)_4            0.0000136%   0.0003311%    0.0001      0.41
  13 Pade(2025)_5            0.0000186%   0.0064444%    2.9490      0.46
  14 Vatankhah(2013)_1       0.0004901%   0.0017590%    0.9515      0.45
  15 Pade(2025)_3            0.0006188%   0.0066566%    0.0001      0.32
  16 Carvalho(2025)_2        0.0028329%   0.0167221%    1.2003      0.14
  17 Hunt(1979)_9            0.0035762%   0.0081503%    3.7892      0.17
  18 Fenton&McKee(1990)_1    0.0055981%   0.0511137%    0.4393      0.07
  19 Pade(2025)_2            0.0059286%   0.1018976%    0.0001      0.23
  20 Wu&Thornton(1986)       0.0069848%   0.0342738%    0.7089      0.11
  21 Vatankhah(2013)_2       0.0085449%   0.0188902%    0.0705      0.13
  22 Carvalho(2025)_3        0.0094391%   0.0444630%    1.1274      0.22
  23 Yamaguchi(2007)_10      0.0094391%   0.0444630%    1.1274      0.18
  24 Carvalho(2025)_4        0.0097978%   0.0501488%    0.3463      0.07
  25 Beji(2013)              0.0164113%   0.0442262%    0.2998      0.24
  26 Carvalho(2025)_5        0.0293525%   0.0760247%    1.5603      0.28
  27 Carvalho(2025)_6        0.0296085%   0.0654110%    0.5769      0.24
  28 Carvalho(2025)_7        0.0308926%   0.1351853%    1.3863      0.10
  29 Hunt(1979)_5            0.0385834%   0.0783780%    1.8098      0.08
  30 You(2002)               0.0451224%   0.5804859%    1.9996      0.03
  31 Nielsen(1982)           0.0451224%   0.5804859%    1.9996      0.02
  32 Carvalho(2025)_8        0.0642401%   0.1698012%    2.6550      0.06
  33 Carvalho(2025)_9        0.0668541%   0.2037817%    2.6569      0.17
  34 Carvalho(2025)_10       0.0729712%   0.2712270%    0.3941      0.19
  35 Carvalho(2025)_11       0.0742522%   0.2609919%    0.3872      0.25
  36 Yu(2014)                0.0863942%   0.3291155%    0.0843      0.14
  37 Yamaguchi(2007)_9       0.0883941%   0.3122414%    1.6590      0.12
  38 Carvalho(2025)_12       0.0892311%   0.4009798%    0.9621      0.09
  39 Pade(2025)_1            0.1226442%   0.6485218%    0.0001      0.14
  40 Carvalho(2025)_13       0.1267865%   0.3714239%    0.0007      0.17
  41 Yamaguchi(2007)_2       0.1888776%   0.7321854%    0.1792      0.33
  42 Carvalho(2025)_14       0.2085362%   1.2784690%    0.2200      0.18
  43 Gilbert(2000)           0.2292764%   0.7930431%    0.4858      0.00
  44 Yamaguchi(2007)_8       0.2554179%   1.1092228%    1.0287      0.23
  45 Guo(2002)               0.2863639%   0.7571934%    1.7822      0.21
  46 Carvalho(2025)_15       0.2925759%   1.3110942%    0.1421      0.05
  47 Carvalho(2025)_16       0.3101789%   1.4216558%    0.1365      0.13
  48 Guan&Ju(2005)           0.3393654%   0.4970393%    3.5938      0.06
  49 Carvalho(2025)_17       0.3571345%   1.8310303%    0.3281      0.16
  50 Yamaguchi(2007)_7       0.3597263%   1.0313632%    1.6848      0.26
  51 Carvalho(2025)_18       0.3724391%   1.1289804%    1.4912      0.04
  52 Carvalho(2025)_19       0.4540868%   1.3892626%    0.3067      0.00
  53 Carvalho(2025)_20       0.5191037%   2.0235808%    1.1161      0.23
  54 Fenton&McKee(1990)_2    0.6716352%   1.6314251%    0.3400      0.15
  55 Yamaguchi(2007)_1       0.7077884%   1.5428393%    1.9814      0.20
  56 Yamaguchi(2007)_5       0.8704391%   2.0361583%    1.8695      0.21
  57 Eckart(1951)            1.1926080%   4.9797834%    0.6938      0.05
  58 Yamaguchi(2007)_6       1.2101780%   5.2587798%    0.7403      0.04
  59 Yamaguchi(2007)_3       1.4889834%   3.1473467%    1.8060      0.03
  60 Iwagaki(2007)           1.4889834%   3.1473467%    1.8060      0.03
  61 Yamaguchi(2007)_4       1.5872652%   3.1772841%    0.4268      0.10
